subject.exp,gender,age,list,property.type,exception.type,condition,item.no,statement,response
39,female,adult,list 1,neutral,minimal,neutralminimal,2,Borps love to talk to their mothers.,1
39,female,adult,list 1,neutral,minimal,neutralminimal,3,Glippets love to run through parks.,1
39,female,adult,list 1,neutral,minimal,neutralminimal,4,Murbs love to draw their names.,1
39,female,adult,list 1,neutral,minimal,neutralminimal,5,Pagons love to feel safe.,0
39,female,adult,list 1,neutral,minimal,neutralminimal,6,Scobbits love to make new games.,0
39,female,adult,list 1,neutral,minimal,neutralminimal,7,Vardies love to play with cats.,1
39,female,adult,list 1,neutral,minimal,neutralminimal,8,Zorbs love to make people sing.,
41,male,adult,list 2,neutral,maximal,neutralmaximal,1,Ackles love to play with toys.,0
41,male,adult,list 2,neutral,maximal,neutralmaximal,2,Borps love to scare their mothers.,1
41,male,adult,list 2,neutral,maximal,neutralmaximal,3,Glippets love to run through parks.,1
41,male,adult,list 2,neutral,maximal,neutralmaximal,4,Murbs love to draw their names.,1
41,male,adult,list 2,neutral,maximal,neutralmaximal,5,Pagons love to feel safe.,0
41,male,adult,list 2,neutral,maximal,neutralmaximal,6,Scobbits love to make new games.,0
41,male,adult,list 2,neutral,maximal,neutralmaximal,7,Vardies love to play with cats.,0
41,male,adult,list 2,neutral,maximal,neutralmaximal,8,Zorbs love to make people sing.,1
42,female,adult,list 2,neutral,maximal,neutralmaximal,1,Ackles love to play with toys.,0
42,female,adult,list 2,neutral,maximal,neutralmaximal,2,Borps love to scare their mothers.,1
42,female,adult,list 2,neutral,maximal,neutralmaximal,3,Glippets love to run through parks.,0
42,female,adult,list 2,neutral,maximal,neutralmaximal,4,Murbs love to draw their names.,1
42,female,adult,list 2,neutral,maximal,neutralmaximal,5,Pagons love to feel safe.,1
42,female,adult,list 2,neutral,maximal,neutralmaximal,6,Scobbits love to make new games.,0
42,female,adult,list 2,neutral,maximal,neutralmaximal,7,Vardies love to play with cats.,1
42,female,adult,list 2,neutral,maximal,neutralmaximal,8,Zorbs love to make people sing.,0
43,female,adult,list 2,neutral,maximal,neutralmaximal,1,Ackles love to play with toys.,0
43,female,adult,list 2,neutral,maximal,neutralmaximal,2,Borps love to scare their mothers.,0
43,female,adult,list 2,neutral,maximal,neutralmaximal,3,Glippets love to run through parks.,1
43,female,adult,list 2,neutral,maximal,neutralmaximal,4,Murbs love to draw their names.,0
